BASS,GUITAR,FLUTE,DRUMS,PIANO,MANDOLIN,BARITONE,TRUMPET
T,Y,T,Y,J,M,M,Z,Z,N,Z,M,R,F,Q
E,K,P,K,E,S,B,A,J,B,A,S,A,M,Z
N,Q,V,W,J,V,J,D,B,N,K,B,T,A,W
B,E,T,Q,E,T,C,E,D,X,R,Q,I,D,X
L,E,H,T,J,N,O,O,H,D,C,U,U,D,D
S,I,U,Q,U,U,L,T,D,I,F,K,G,W,K
F,L,A,L,L,I,Y,L,E,R,V,V,K,I,K
F,S,F,X,N,B,T,K,S,P,U,W,Z,Z,L
D,W,N,M,M,W,U,D,I,X,M,M,Z,R,R
K,E,N,O,T,I,R,A,B,B,B,U,S,B,Z
P,I,A,N,O,H,F,L,K,A,L,U,R,Q,E
K,K,T,K,D,B,J,A,H,S,Z,R,W,T,M
J,D,I,A,G,B,W,U,F,S,U,B,H,R,W
V,E,Q,U,U,M,W,C,D,Z,X,G,X,F,Y
K,Z,P,J,U,Z,E,T,K,I,C,R,Y,B,Y
